"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"m[5,21] Disting ENG",163587.6096,163701.5,164067.605556804,12873.2,0.95,139563,187932,NA,NA,NA,NA,NA,NA,NA
"m[1,22] Assis FINH",60834.7720866667,60860.45,60521.0008203148,15000,0.95,45958,75674.4,NA,NA,NA,NA,NA,NA,NA
"m[2,22] Assoc FINH",73185.26458,73137.15,73038.9933363585,15000,0.95,58779.3,88408.4,NA,NA,NA,NA,NA,NA,NA
"m[3,22] Full FINH",98377.5359133333,98346.2,97133.9121918979,14427.2,0.95,77764.8,120243,NA,NA,NA,NA,NA,NA,NA
"m[4,22] Endow FINH",132640.8687,132629.5,132245.975829605,13096.7,0.95,106925,158263,NA,NA,NA,NA,NA,NA,NA
"m[5,22] Disting FINH",161236.3226,161290,161845.090783036,14282,0.95,135044,188245,NA,NA,NA,NA,NA,NA,NA
"m[1,23] Assis FINS",62284.7071133333,62151.15,61888.2042717758,14011,0.95,41724.1,84563.3,NA,NA,NA,NA,NA,NA,NA
"m[2,23] Assoc FINS",73416.3156333333,73407.35,73504.016614803,16431.4,0.95,64164.1,83519.3,NA,NA,NA,NA,NA,NA,NA
"m[3,23] Full FINS",105342.067266667,105198.5,106117.05963779,12870.1,0.95,80403.6,131734,NA,NA,NA,NA,NA,NA,NA
"m[4,23] Endow FINS",135625.543246667,135534.5,134815.322933656,12557.3,0.95,114365,156667,NA,NA,NA,NA,NA,NA,NA
"m[5,23] Disting FINS",164029.515333333,164052,164360.777445819,13020.7,0.95,136439,190468,NA,NA,NA,NA,NA,NA,NA
"m[1,24] Assis FOLK",60581.3165533333,60481.95,59812.9307965799,15000,0.95,43446.6,79315.2,NA,NA,NA,NA,NA,NA,NA
"m[2,24] Assoc FOLK",73821.4957666667,73798.4,73575.3888624308,14540.8,0.95,60079.2,86927.8,NA,NA,NA,NA,NA,NA,NA
"m[3,24] Full FOLK",98487.3912666667,98489.5,98752.5760142622,15000,0.95,82649.8,114473,NA,NA,NA,NA,NA,NA,NA
"m[4,24] Endow FOLK",130716.724266667,130782,130502.540960668,14646.9,0.95,110398,151078,NA,NA,NA,NA,NA,NA,NA
"m[5,24] Disting FOLK",160954.877933333,161031,163160.092301682,14217.7,0.95,134953,186273,NA,NA,NA,NA,NA,NA,NA
"m[1,25] Assis FRIT",68374.53034,68335.85,68923.9756895641,15000,0.95,52170.1,83847.4,NA,NA,NA,NA,NA,NA,NA
"m[2,25] Assoc FRIT",71309.2834533333,71389.25,71523.3850887648,14653.6,0.95,57890.2,84740.5,NA,NA,NA,NA,NA,NA,NA
"m[3,25] Full FRIT",117661.458393333,117643,117559.709591571,15000,0.95,105395,130465,NA,NA,NA,NA,NA,NA,NA
"m[4,25] Endow FRIT",140696.82836,140728,140959.093107768,14089.3,0.95,115457,165363,NA,NA,NA,NA,NA,NA,NA
"m[5,25] Disting FRIT",169385.727066667,169480.5,169488.424877277,14103.4,0.95,143092,194534,NA,NA,NA,NA,NA,NA,NA
"m[1,26] Assis GEOG",71212.3492,71237.4,72068.3263388658,15000,0.95,56702,86530.3,NA,NA,NA,NA,NA,NA,NA
"m[2,26] Assoc GEOG",84128.3800733333,84062.75,83648.0018908078,15000,0.95,63494.4,105498,NA,NA,NA,NA,NA,NA,NA
"m[3,26] Full GEOG",117455.026526667,117451,117678.688092822,15000,0.95,101517,134516,NA,NA,NA,NA,NA,NA,NA
"m[4,26] Endow GEOG",145517.92938,145541.5,145244.336992183,15000,0.95,119754,172179,NA,NA,NA,NA,NA,NA,NA
"m[5,26] Disting GEOG",174205.1572,174145,172287.581965291,14421.3,0.95,147419,201714,NA,NA,NA,NA,NA,NA,NA
"m[1,27] Assis GEOL",69130.9866066667,69157.8,69357.1457904938,15000,0.95,54888.5,83389.7,NA,NA,NA,NA,NA,NA,NA
"m[2,27] Assoc GEOL",79138.2369533333,79257.95,79469.3244598385,13527.6,0.95,63118.6,94341.4,NA,NA,NA,NA,NA,NA,NA
