"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"m[4,50] Endow REL",139530.7274,139604,141774.993504905,14337,0.95,114521,164041,NA,NA,NA,NA,NA,NA,NA
"m[5,50] Disting REL",168309.8844,168373,168749.082496287,13568,0.95,142920,194938,NA,NA,NA,NA,NA,NA,NA
"m[1,51] Assis RPAD",73717.5281,73717.45,73312.6999844146,15000,0.95,57608.2,90144.9,NA,NA,NA,NA,NA,NA,NA
"m[2,51] Assoc RPAD",91111.5168333333,91088.95,91301.6353878804,15000,0.95,77777,105040,NA,NA,NA,NA,NA,NA,NA
"m[3,51] Full RPAD",121362.42888,121301,120650.878746575,15000,0.95,103622,139650,NA,NA,NA,NA,NA,NA,NA
"m[4,51] Endow RPAD",149882.743406667,149953.5,150332.871333607,13898.1,0.95,124276,174999,NA,NA,NA,NA,NA,NA,NA
"m[5,51] Disting RPAD",178532.0662,178623,180258.89343991,14782.2,0.95,151297,204034,NA,NA,NA,NA,NA,NA,NA
"m[1,52] Assis SLIS",87295.46308,87335.25,87148.8792923263,15000,0.95,71762.2,103503,NA,NA,NA,NA,NA,NA,NA
"m[2,52] Assoc SLIS",98729.37062,98703.2,98866.0064933017,15000,0.95,86806.6,110304,NA,NA,NA,NA,NA,NA,NA
"m[3,52] Full SLIS",127304.339146667,127367.5,128528.077327233,14685.5,0.95,107257,147704,NA,NA,NA,NA,NA,NA,NA
"m[4,52] Endow SLIS",161173.915933333,161074,160556.312636854,15000,0.95,143680,179179,NA,NA,NA,NA,NA,NA,NA
"m[5,52] Disting SLIS",187955.802466667,188130.5,189212.002950175,14194.1,0.95,162088,212410,NA,NA,NA,NA,NA,NA,NA
"m[1,53] Assis SLS",58744.4705333333,58683.95,57939.5256555959,15351.2,0.95,42456.5,75724.2,NA,NA,NA,NA,NA,NA,NA
"m[2,53] Assoc SLS",70170.9021133333,70170.7,69322.7337413057,15080.8,0.95,52879.9,85966.5,NA,NA,NA,NA,NA,NA,NA
"m[3,53] Full SLS",98084.52358,98113.9,99334.1921495859,14435.9,0.95,76425.4,118926,NA,NA,NA,NA,NA,NA,NA
"m[4,53] Endow SLS",130903.021346667,130868,129701.780229466,14566.1,0.95,104607,156594,NA,NA,NA,NA,NA,NA,NA
"m[5,53] Disting SLS",159553.822533333,159717.5,161266.327276879,14563.3,0.95,132757,187566,NA,NA,NA,NA,NA,NA,NA
"m[1,54] Assis SOC",74783.1242733333,74782.8,74756.8478045879,15000,0.95,61680.7,88097.3,NA,NA,NA,NA,NA,NA,NA
"m[2,54] Assoc SOC",87781.20746,87741.6,87197.451638573,13875.9,0.95,76335.3,99194.5,NA,NA,NA,NA,NA,NA,NA
"m[3,54] Full SOC",116510.717986667,116532.5,116579.101743328,15000,0.95,102340,129878,NA,NA,NA,NA,NA,NA,NA
"m[4,54] Endow SOC",152713.403466667,152749,153357.796757208,14429.5,0.95,137373,168611,NA,NA,NA,NA,NA,NA,NA
"m[5,54] Disting SOC",173543.677466667,173587.5,172734.196758446,14401.1,0.95,153593,194465,NA,NA,NA,NA,NA,NA,NA
"m[1,55] Assis SPAN",62970.5412733333,62986.35,63342.2769962207,14500.3,0.95,49825.2,75975.6,NA,NA,NA,NA,NA,NA,NA
"m[2,55] Assoc SPAN",74607.4140666667,74574.05,73990.4881212846,15000,0.95,63885.9,84961.8,NA,NA,NA,NA,NA,NA,NA
"m[3,55] Full SPAN",107824.60622,107811,107815.95604534,13843.4,0.95,96148,119445,NA,NA,NA,NA,NA,NA,NA
"m[4,55] Endow SPAN",136946.011833333,136957,136270.106183879,13295,0.95,112163,160897,NA,NA,NA,NA,NA,NA,NA
"m[5,55] Disting SPAN",165538.011266667,165582.5,166705.604751234,13641.8,0.95,140479,190415,NA,NA,NA,NA,NA,NA,NA
"m[1,56] Assis SPEA",96225.3015533333,96219.8,96366.7435480809,15000,0.95,87813.6,105210,NA,NA,NA,NA,NA,NA,NA
"m[2,56] Assoc SPEA",105906.569273333,105909.5,105831.789879295,15000,0.95,96586.2,114522,NA,NA,NA,NA,NA,NA,NA
"m[3,56] Full SPEA",142618.144,142576,142399.985568105,15000,0.95,132181,153843,NA,NA,NA,NA,NA,NA,NA
"m[4,56] Endow SPEA",155873.4914,155996.5,156907.979750551,11979.3,0.95,140478,171920,NA,NA,NA,NA,NA,NA,NA
"m[5,56] Disting SPEA",220814.214466667,220614,220041.778505074,10068.3,0.95,201636,238539,NA,NA,NA,NA,NA,NA,NA
"m[1,57] Assis SPHS",83511.1998,83483.75,82880.5995167773,15000,0.95,69334.2,97837.4,NA,NA,NA,NA,NA,NA,NA
"m[2,57] Assoc SPHS",97551.99836,97637.35,98767.911524284,15000,0.95,83962.6,110517,NA,NA,NA,NA,NA,NA,NA
"m[3,57] Full SPHS",125803.354673333,125859.5,126386.342547986,15000,0.95,112843,139140,NA,NA,NA,NA,NA,NA,NA
"m[4,57] Endow SPHS",161807.1918,161803,162950.898151357,13226,0.95,138616,186670,NA,NA,NA,NA,NA,NA,NA
"m[5,57] Disting SPHS",206468.3932,206236.5,205036.744738468,10030.1,0.95,185384,228726,NA,NA,NA,NA,NA,NA,NA
"m[1,58] Assis STAT",83279.7565666667,83249.55,82687.9822576524,15000,0.95,68443.2,98289.6,NA,NA,NA,NA,NA,NA,NA
"m[2,58] Assoc STAT",95166.12748,95142.85,94868.6337509607,15000,0.95,73716.4,116162,NA,NA,NA,NA,NA,NA,NA
"m[3,58] Full STAT",127193.245346667,127117,126293.188620293,14633.7,0.95,102100,153065,NA,NA,NA,NA,NA,NA,NA
"m[4,58] Endow STAT",161142.0756,161151.5,161265.038231917,15000,0.95,139955,182777,NA,NA,NA,NA,NA,NA,NA
"m[5,58] Disting STAT",185416.6626,185520.5,186886.058607598,14336.2,0.95,164468,207932,NA,NA,NA,NA,NA,NA,NA
"m[1,59] Assis TELC",68589.00564,68559.45,68452.9674782988,15035,0.95,54397.6,83074.8,NA,NA,NA,NA,NA,NA,NA
"m[2,59] Assoc TELC",80252.7486133333,80320.05,80823.5006262455,15000,0.95,62790.5,97969.9,NA,NA,NA,NA,NA,NA,NA
"m[3,59] Full TELC",112794.97458,112832,113336.689756181,15000,0.95,99384.3,126100,NA,NA,NA,NA,NA,NA,NA
"m[4,59] Endow TELC",142188.962713333,142085.5,141265.343106149,15183.2,0.95,117081,166152,NA,NA,NA,NA,NA,NA,NA
"m[5,59] Disting TELC",171252.810266667,171226.5,170349.336676524,14425.6,0.95,149632,191662,NA,NA,NA,NA,NA,NA,NA
"m[1,60] Assis THTR",58768.8710266667,58772.25,58830.8534524033,13994.7,0.95,43791.7,73619.9,NA,NA,NA,NA,NA,NA,NA
"m[2,60] Assoc THTR",68402.9222933333,68403.35,68492.1802765597,15000,0.95,57159.4,79288.3,NA,NA,NA,NA,NA,NA,NA
"m[3,60] Full THTR",101133.736826667,101049,99835.9095894,12759.4,0.95,74614.3,126507,NA,NA,NA,NA,NA,NA,NA
"m[4,60] Endow THTR",131321.344093333,131233.5,130813.770238148,12905.8,0.95,104872,157651,NA,NA,NA,NA,NA,NA,NA
"m[5,60] Disting THTR",159934.827066667,159965,161176.668653,13093.9,0.95,132509,187453,NA,NA,NA,NA,NA,NA,NA
"ySigma",17985.8979733333,17985.1,18012.7674447667,11308.3,0.95,17125.4,18842.1,NA,NA,NA,NA,NA,NA,NA
"a1SD",55076.7066733333,49690,41151.5010283146,939.3,0.95,23109.7,101980,NA,NA,NA,NA,NA,NA,NA
"a2SD",30574.3346266667,30322.3,30078.7353941928,12591.1,0.95,24878.4,36741.1,NA,NA,NA,NA,NA,NA,NA
"a1a2SD",9708.80389466667,9674.955,9608.29800531299,3370.5,0.95,7284.51,12152.9,NA,NA,NA,NA,NA,NA,NA
"Full.v.Assoc",29929.2347438639,29943.365,30164.2426862251,13595.9,0.95,26574.3,33137.23,0,100,-1000,1000,0,0,100
"Assoc.v.Assis",13317.8895,13305.85,13348.1740692874,15327.2,0.95,9974.5,16807.8,0,100,-1000,1000,0,0,100
"CHEM.v.ENG",38568.3811886667,38553.4,39216.2385009083,12552.8,0.95,28377.9,48666.5,0,100,-1000,1000,0,0,100
"CHEM.v.PSY",12508.7209993447,12496.835,13019.7125501518,15000,0.95,4188,21004.2508,0,99.7866666666667,-1000,1000,0.0933333333333333,0.299999999999997,99.6066666666667
"BFIN.v.PSYCHEMENG",107082.311881337,107088.418333333,107067.837195036,12828.5,0.95,97234.8,117203.833333333,0,100,-1000,1000,0,0,100
"Full.v.Assis.x.CHEM.v.ENG",22033.2245220816,21937.58,21369.1075177162,13915.3,0.95,1669.86,42381.524,0,98.5,-1000,1000,1.17333333333333,0.733333333333334,98.0933333333333
"Full.v.Assis.x.CHEM.v.PSY",37366.3502952426,37326.58,39193.7006936007,12963.5,0.95,17745.06,58153.047,0,99.9933333333333,-1000,1000,0.00666666666666667,0,99.9933333333333
"Full.v.AssocAssis.x.BFIN.v.PSYCHEMENG",-10870.5978625221,-10865.9508333333,-9661.33122487922,14323,0.95,-27983.9716666667,7143.1875,0,11.2466666666667,-1000,1000,86.5133333333333,4.09999999999999,9.38666666666667
